item_number,item_name,unit,quantity,price,item_description,num_images,num_videos,auction_type
170,CHANEL衣服,件,1,10000,尺寸34,1,0,變賣
171,CHANEL衣服,件,1,4000,尺寸34,1,0,變賣
172,CHANEL衣服,件,1,9000,尺寸36,1,0,變賣
174,CHANEL衣服,件,1,9000,尺寸36,1,0,變賣
175,CHANEL衣服,件,1,40000,尺寸36,1,0,變賣
176,CHANEL衣服,件,1,40000,尺寸36,1,0,變賣
177,CHANEL衣服,件,1,50000,尺寸38,1,0,變賣
178,CHANEL衣服,件,1,15000,尺寸34,1,0,變賣
179,CHANEL衣服,件,1,25000,尺寸34,1,0,變賣
180,CHANEL衣服,件,1,15000,尺寸34,1,0,變賣
181,CHANEL衣服,件,1,20000,尺寸38,1,0,變賣
182,CHANEL衣服,件,1,50000,尺寸36,1,0,變賣
183,CHANEL衣服,件,1,10000,尺寸38,1,0,變賣
184,CHANEL衣服,件,1,60000,尺寸38,1,0,變賣
185,CHANEL衣服,件,1,10000,尺寸34,1,0,變賣
186,CHANEL衣服,件,1,7500,尺寸不詳,1,0,變賣
187,CHANEL衣服,件,1,10000,尺寸36,1,0,變賣
188,CHANEL衣服,件,1,9000,尺寸36,1,0,變賣
189,CHANEL衣服,件,1,40000,尺寸34,1,0,變賣
297,CHRISTIAN DIOR耳環,副,1,4000,,1,0,變賣
298,CHRISTIAN DIOR耳環,副,1,4000,,1,0,變賣
299,CHARLOTTE OLYMPIA耳環,副,1,1000,,1,0,變賣
300,CHRISTIAN DIOR耳環,副,1,4500,,1,0,變賣
301,CHRISTIAN DIOR耳環,副,1,2500,,1,0,變賣
302,CHRISTIAN DIOR耳環,副,1,2500,,1,0,變賣
303,CHRISTIAN DIOR耳環,副,1,2500,,1,0,變賣
304,CHRISTIAN DIOR耳環,副,1,2500,,1,0,變賣
305,CHRISTIAN DIOR耳環,副,1,2500,,1,0,變賣
306,CHRISTIAN DIOR耳環,副,1,2500,,1,0,變賣
307,(品牌未知)耳環,副,1,4500,,1,0,變賣
309,CHRISTIAN DIOR耳環,副,1,2500,,1,0,變賣
310,CHRISTIAN DIOR耳環,副,1,2000,,1,0,變賣
311,CHANEL耳環,副,1,2500,,1,0,變賣
315,CHRISTIAN DIOR耳環,副,1,2300,,1,0,變賣
316,CHRISTIAN DIOR耳環,副,1,1800,,1,0,變賣
317,CHRISTIAN DIOR耳環,副,1,3500,,1,0,變賣
318,CHRISTIAN DIOR耳環,副,1,2300,,1,0,變賣
319,CHRISTIAN DIOR耳環,副,1,2300,,1,0,變賣
320,CHANEL耳環,副,1,2500,,1,0,變賣
322,CHANEL耳環,副,1,1500,,1,0,變賣
323,CHRISTIAN DIOR耳環,副,1,2000,,1,0,變賣
325,CHRISTIAN DIOR耳環,副,1,2300,,1,0,變賣
327,CHRISTIAN DIOR耳環,副,1,2300,,1,0,變賣
328,CHANEL耳環,副,1,2000,,1,0,變賣
329,CHRISTIAN DIOR耳環,副,1,2300,,1,0,變賣
330,HERMES耳環,副,1,3500,,1,0,變賣
331,CHRISTIAN DIOR耳環,副,1,2400,,1,0,變賣
332,CHANEL耳環,副,1,2500,,1,0,變賣
333,CHRISTIAN DIOR耳環,副,1,2300,,1,0,變賣
334,CHANEL耳環,副,1,2500,,1,0,變賣
335,CHRISTIAN DIOR耳環,副,1,2000,,1,0,變賣
336,TIFFANY耳環,副,1,25000,,1,0,變賣
337,CHRISTIAN DIOR耳環,副,1,2300,,1,0,變賣
338,MIKIMOTO耳環,副,1,6000,,1,0,變賣
340,CHANEL耳環,副,1,4000,,1,0,變賣
341,CHRISTIAN DIOR耳環,副,1,2000,,1,0,變賣
343,CHRISTIAN DIOR耳環,副,1,2000,,1,0,變賣
344,CHANEL耳環,個,3,3500,,1,0,變賣
345,CHANEL耳環,個,3,3000,,1,0,變賣
346,LOUIS VUITTON耳環,個,1,500,,1,0,變賣
